Name,R,G,B,Broad Color
Columbia Blue,155,221,255,Blue
Congo Pink,248,131,121,Pink
Cool Black,0,46,99,Blue
Cool Grey,140,146,172,Grey
Copper,184,115,51,Brown
Copper (Crayola),218,138,103,Pink
Copper Penny,173,111,105,Purple
Copper Red,203,109,81,Pink
Copper Rose,153,102,102,Purple
Coquelicot,255,56,0,Orange
Coral,255,127,80,Pink
Coral Pink,248,131,121,Pink
Coral Red,255,64,64,Red
Cordovan,137,63,69,Brown
Corn,251,236,93,Yellow
Cornell Red,179,27,27,Red
Cornflower Blue,100,149,237,Blue
Cornsilk,255,248,220,White
Cosmic Latte,255,248,231,White
Cotton Candy,255,188,217,Pink
Cream,255,253,208,White
Crimson,220,20,60,Pink
Crimson Glory,190,0,50,Red
Cyan,0,255,255,Blue
Cyan (Process),0,183,235,Blue
Daffodil,255,255,49,Yellow
